"","V1"
"TRACTCE","217100"
"TRACTCE.1","533300"
"TRACTCE.2","603900"
"TRACTCE.3","462900"
"TRACTCE.4","541802"
"TRACTCE.5","127910"
"TRACTCE.6","433501"
"TRACTCE.7","600801"
"TRACTCE.8","229410"
"TRACTCE.9","232700"
"TRACTCE.10","532700"
"TRACTCE.11","226001"
"TRACTCE.12","532303"
"TRACTCE.13","234700"
"TRACTCE.14","540700"
"TRACTCE.15","570603"
"TRACTCE.16","219700"
"TRACTCE.17","534101"
"TRACTCE.18","550800"
"TRACTCE.19","532605"
"TRACTCE.20","540300"
"TRACTCE.21","533403"
"TRACTCE.22","600501"
"TRACTCE.23","502200"
"TRACTCE.24","530006"
"TRACTCE.25","554101"
"TRACTCE.26","570901"
"TRACTCE.27","553901"
"TRACTCE.28","482701"
"TRACTCE.29","432901"
"TRACTCE.30","541200"
"TRACTCE.31","212702"
"TRACTCE.32","542401"
"TRACTCE.33","533001"
"TRACTCE.34","207301"
"TRACTCE.35","195600"
"TRACTCE.36","199201"
"TRACTCE.37","231720"
"TRACTCE.38","700101"
"TRACTCE.39","186202"
"TRACTCE.40","183101"
"TRACTCE.41","431600"
"TRACTCE.42","430101"
"TRACTCE.43","430901"
"TRACTCE.44","404302"
"TRACTCE.45","403722"
"TRACTCE.46","432700"
"TRACTCE.47","406901"
"TRACTCE.48","401603"
"TRACTCE.49","402600"
"TRACTCE.50","401202"
"TRACTCE.51","432000"
"TRACTCE.52","408133"
"TRACTCE.53","481500"
"TRACTCE.54","480302"
"TRACTCE.55","430400"
"TRACTCE.56","403000"
"TRACTCE.57","241110"
"TRACTCE.58","408211"
"TRACTCE.59","408504"
"TRACTCE.60","403325"
"TRACTCE.61","211310"
"TRACTCE.62","408800"
"TRACTCE.63","128303"
"TRACTCE.64","404801"
"TRACTCE.65","191500"
"TRACTCE.66","900701"
"TRACTCE.67","910713"
"TRACTCE.68","603900"
"TRACTCE.69","433403"
"TRACTCE.70","207710"
"TRACTCE.71","231800"
"TRACTCE.72","910603"
"TRACTCE.73","910209"
"TRACTCE.74","550500"
"TRACTCE.75","199800"
"TRACTCE.76","291220"
"TRACTCE.77","460200"
"TRACTCE.78","460502"
"TRACTCE.79","480600"
"TRACTCE.80","103200"
"TRACTCE.81","463000"
"TRACTCE.82","301900"
"TRACTCE.83","300200"
"TRACTCE.84","135203"
"TRACTCE.85","115201"
"TRACTCE.86","104203"
"TRACTCE.87","106649"
"TRACTCE.88","106113"
"TRACTCE.89","111202"
"TRACTCE.90","120104"
"TRACTCE.91","127104"
"TRACTCE.92","131900"
"TRACTCE.93","124600"
"TRACTCE.94","311400"
"TRACTCE.95","143604"
"TRACTCE.96","124201"
"TRACTCE.97","124000"
"TRACTCE.98","462302"
"TRACTCE.99","461400"
"TRACTCE.100","800332"
"TRACTCE.101","134304"
"TRACTCE.102","134720"
"TRACTCE.103","113322"
"TRACTCE.104","139502"
"TRACTCE.105","109604"
"TRACTCE.106","920017"
"TRACTCE.107","920040"
"TRACTCE.108","920322"
"TRACTCE.109","137502"
"TRACTCE.110","920109"
"TRACTCE.111","117302"
"TRACTCE.112","800204"
"TRACTCE.113","501900"
"TRACTCE.114","239602"
"TRACTCE.115","550100"
"TRACTCE.116","910401"
"TRACTCE.117","208902"
"TRACTCE.118","501504"
"TRACTCE.119","503702"
"TRACTCE.120","131800"
"TRACTCE.121","301602"
"TRACTCE.122","620102"
"TRACTCE.123","603101"
"TRACTCE.124","670403"
"TRACTCE.125","621324"
"TRACTCE.126","620701"
"TRACTCE.127","651002"
"TRACTCE.128","543503"
"TRACTCE.129","296600"
"TRACTCE.130","295103"
"TRACTCE.131","294820"
"TRACTCE.132","575902"
"TRACTCE.133","577501"
"TRACTCE.134","576903"
"TRACTCE.135","571502"
"TRACTCE.136","574400"
"TRACTCE.137","139600"
"TRACTCE.138","574300"
"TRACTCE.139","574902"
"TRACTCE.140","577300"
"TRACTCE.141","651221"
"TRACTCE.142","576602"
"TRACTCE.143","573201"
"TRACTCE.144","294421"
"TRACTCE.145","211000"
"TRACTCE.146","211120"
"TRACTCE.147","221220"
"TRACTCE.148","265202"
"TRACTCE.149","191201"
"TRACTCE.150","190301"
