Geo_FIPS,Geo_GEOID,Geo_NAME,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_FILEID,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_PLACESE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_BTTR,Geo_BTBG,Geo_PUMA5,Geo_PUMA1,SE_T001_001,SE_T021_001,ACS15_5yr_B08015001,ACS15_5yr_B08015002,ACS15_5yr_B08015003,ACS15_5yr_B08015001s,ACS15_5yr_B08015002s,ACS15_5yr_B08015003s
6037101110,14000US06037101110,"Census Tract 1011.10, Los Angeles County, California","Census Tract 1011.10, Los Angeles County, California",ca,140,0,ACSSF,3874,,,,,6,37,,,,101110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4824,2.87,1975,1165,805,155.1515152,110.9090909,90.3030303
6037101122,14000US06037101122,"Census Tract 1011.22, Los Angeles County, California","Census Tract 1011.22, Los Angeles County, California",ca,140,0,ACSSF,3875,,,,,6,37,,,,101122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3291,2.7,1755,875,880,158.7878788,116.3636364,80.60606061
6037101210,14000US06037101210,"Census Tract 1012.10, Los Angeles County, California","Census Tract 1012.10, Los Angeles County, California",ca,140,0,ACSSF,3876,,,,,6,37,,,,101210,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5882,2.53,2390,1285,1105,190.3030303,164.8484848,101.8181818
6037101220,14000US06037101220,"Census Tract 1012.20, Los Angeles County, California","Census Tract 1012.20, Los Angeles County, California",ca,140,0,ACSSF,3877,,,,,6,37,,,,101220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2902,2.49,1125,585,540,92.72727273,61.21212121,58.18181818
6037101300,14000US06037101300,"Census Tract 1013, Los Angeles County, California","Census Tract 1013, Los Angeles County, California",ca,140,0,ACSSF,3878,,,,,6,37,,,,101300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4410,2.84,1765,845,920,125.4545455,93.33333333,86.06060606
6037101400,14000US06037101400,"Census Tract 1014, Los Angeles County, California","Census Tract 1014, Los Angeles County, California",ca,140,0,ACSSF,3879,,,,,6,37,,,,101400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4109,2.73,1515,780,735,101.8181818,83.03030303,80.60606061
6037102103,14000US06037102103,"Census Tract 1021.03, Los Angeles County, California","Census Tract 1021.03, Los Angeles County, California",ca,140,0,ACSSF,3880,,,,,6,37,,,,102103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1850,2.72,835,355,480,77.57575758,50.90909091,49.09090909
6037102104,14000US06037102104,"Census Tract 1021.04, Los Angeles County, California","Census Tract 1021.04, Los Angeles County, California",ca,140,0,ACSSF,3881,,,,,6,37,,,,102104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3481,2.51,1435,605,830,161.8181818,95.15151515,98.78787879
6037102105,14000US06037102105,"Census Tract 1021.05, Los Angeles County, California","Census Tract 1021.05, Los Angeles County, California",ca,140,0,ACSSF,3882,,,,,6,37,,,,102105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1942,3.37,805,410,395,85.45454545,55.15151515,67.27272727
6037102107,14000US06037102107,"Census Tract 1021.07, Los Angeles County, California","Census Tract 1021.07, Los Angeles County, California",ca,140,0,ACSSF,3883,,,,,6,37,,,,102107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3932,2.94,1640,890,755,136.3636364,112.7272727,65.45454545
